"職缺內容","公司名稱","產業別","工作內容","地區","薪資","網址"
"ETL 資料分析程式設計師","碩誠國際股份有限公司","電腦軟體服務業"," Oracle)經驗，熟悉DB架構及基本設定。
2. 熟悉資料庫工具操作(如Oracle SQL Developer, SQL Server Managerment Studio)。
3. 熟悉Windows及Linux等作業系統基本操作。
4. 有ETL開發","台北市松山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/6f1b4?jobsource=n_my104_search"")"
"I3901 大數據資料工程師(AI/ML)","遠傳電信股份有限公司","電信相關業","1. 開發與維護 AI/ML/生成式AI / ETL data pipeline
2. 協助數據分析進行資料清洗及轉置
3. 負責資料品質之管理及監控，資料反饋及優化之相關機制","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8cgss?jobsource=n_my104_search"")"
"【數位驅動】資料科學工程師_ 數據管理_I00003122","國泰世華商業銀行股份有限公司","銀行業","【主要職責 Who we are looking for】 
負責企業資料倉儲之數據管理，包含 : 資料市集設計、海內外倉儲ETL批次之開發/維運/監控、倉儲相關數據整合加值運用與分析，提供高品質與有價值的資料分析應用。 
【職務說明 What","台北市信義區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/89ofn?jobsource=n_my104_search"")"
"[ Python ] Senior Data Engineer 資料工程師  #Data & AI  #ACT台灣敏捷大賞獎2024","炬識科技股份有限公司","其它軟體及網路相關業"," Streaming Platform 等。
- 有 ETL 或資料分析案之專案經驗。
- 樂於與團隊互動、與客戶合作，並回應變化，願意了解客戶產業的領域知識以開發可用的軟體。
- 認同溝通的雙向性，職務內所需之訊息主動聽取、提出必要問題以正確理解，不依靠","台北市中山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7kabt?jobsource=n_my104_search"")"
"DATA_(資深)資料工程師","博弘雲端科技股份有限公司","網際網路相關業","【工作內容】
1. 將概念性想法設計規劃為可執行的解決方案
2. 大數據專案的規劃，數據接入、清洗、建模與可視化的設計
3. 與機器學習工程師、雲端架構師、PM密切合作共同合作完成專案,供客戶高質量的雲端數據相關服務
4. 負責協助客戶整合、設計","台北市中山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/83d0r?jobsource=n_my104_search"")"
"《台北中山》資料工程師","敦謙國際智能科技股份有限公司","旅遊服務業","• 營運策略系統 (RMS)
• 定價採集，多平台房源定價的抓取和分析工作，建立資料數據。
• 定價分析，善用資料探勘技術，分類分群並歸納出定價策略。
• 定價建議，根據數據透過機器學習，協助旅宿決定房間最佳定價。
• 建模預測，根據歷史銷售資料","台北市中山區","月薪42,000~90,000元","=HYPERLINK(""http:////www.104.com.tw/job/7b120?jobsource=n_my104_search"")"
"資料工程師_資訊處(內湖)","台達電子工業股份有限公司 _DELTA ELECTRONICS INC.","其他電子零組件相關業","和技巧，能夠設計和實現適合的數據架構，以支持業務需求和分析。
3.數據工程:熟悉ELT與ETL的流程開發與管理以及監控(Nifi, Airflow, SSIS…etc)。
4.開發語言: Python or Java / C#。

《","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/82tip?jobsource=n_my104_search"")"
"Data Engineer","睿控網安股份有限公司","電腦軟體服務業","我們正在尋找一位資料工程師，該職位將負責設計和構建資料管道和資料基礎設施，支持公司各種資料分析和財務預測項目的順利進行。您將與資料分析師合作，確保資料的準確性、一致性和高效處理。

職責：
1.	資料集成與ETL流程
	- 設計和實施ETL（提取","台北市信義區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8b9pi?jobsource=n_my104_search"")"
"資料工程師","圖靈數位股份有限公司","其它軟體及網路相關業","行銷判讀，運營，轉化方面的戰略支持與技術方法。成員大多是技術工程師組成，協助客戶收集有用的數據，了解數據，利用數據。

目前是 Google Marketing Platform、Mixpanel、AB Tasty 認證合作夥伴。

公司福利：
・","台北市中正區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7v0e3?jobsource=n_my104_search"")"
"資料工程師 Data Engineer【聯想感】","股感資訊股份有限公司","網際網路相關業","1. 收集和整合各種資料來源，建立高效的資料架構。
2. 設計和實現數據管道和 ETL 流程。
3. 實現數據庫的優化和管理。
4. 解決數據處理中出現的問題。","台北市松山區","月薪50,000元以上","=HYPERLINK(""http:////www.104.com.tw/job/8fxa1?jobsource=n_my104_search"")"
"大數據ETL工程師","達暉資訊有限公司","電腦系統整合服務業"," °o‧° °o‧° °o‧°

▍必要條件：
※ 具 Python 開發大數據 ETL 流程，二年以上經驗為佳。
※ 具備版本控制及 CI/CD 概念， Git 實際操作經驗。
※ 具備 Hadoop 環境 (CDH、Apache Hadoop)","台北市大安區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8fz8b?jobsource=n_my104_search"")"
"FinTech資料工程師(台北)【BU68-FHA】","敦陽科技股份有限公司","電腦系統整合服務業","1. 國際FinTech金融科技軟體系統的導入建置、測試及維護
2. 與國外軟體工程師共同解決軟體系統相關問題
3. 金融系統整合之客製化軟體開發，例如：數據資料處理、AI模型建置
4. FinTech金融科技技術、產品研究，例如：洗錢防制(","台北市內湖區","月薪30,000~70,000元","=HYPERLINK(""http:////www.104.com.tw/job/4bs41?jobsource=n_my104_search"")"
"資料工程師-情報系統二team【全家便利商店關係企業】","精藤股份有限公司","電腦系統整合服務業","

職務內容如下：
1.	管理／維運數據中台，負責數據的蒐集、交換、儲存、清理，執行ETL作業，把關資料正確性與品質。
2.	製作BI儀錶板，供使用者檢視經營指標。
3.	協助建置數據治理環境與制度。
4.	配合資料分析相關作業，並對需求者簡報。
5.","台北市中山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/84xyg?jobsource=n_my104_search"")"
"資料科學工程師 (Data Engineer) -- 資料科學實驗室 (數數發中心,DDT)_I00018190","國泰金控_國泰金融控股股份有限公司","金融控股業","[工作內容]
職務包含但不限於以下內容
- 基於 Python 語言之產品開發，推廣及後續維護
- Docker/Kubernetes 相關技術應用研發
- 雲端技術應用及研究
- 創新資料科學工程架構研究及開發
- 大數據專案開發實作
","台北市信義區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8hztb?jobsource=n_my104_search"")"
"數據工程師(內湖)","可樂旅遊旅行社股份有限公司","旅遊服務業","【工作內容】
1. 專案數據分析。
2. 資料倉儲系統之程式設計及開發。
3. 負責專案之程式開發與測試及Code review。
4. 資料處理依循資料安全管理制度規範。
5. 配合專案需求執行系統導入及上線。
6. 製作資料庫規格文件。

【","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/853np?jobsource=n_my104_search"")"
"資料分析工程師_Data Analysis Engineer_台北","昕力資訊股份有限公司","電腦軟體服務業","中、台南、高雄、新加坡及越南。

在現在這個數位轉型的大時代中，為了提供更專業的服務及產品，我們需要優秀的夥伴加入。

【資料分析工程師夥伴工作內容會包含什麼？】
1. 有大數據資料或log資料處理經驗
2. 熟悉Regular","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8hri6?jobsource=n_my104_search"")"
"數據工程師Data Engineer","統一資訊股份有限公司","電腦系統整合服務業","效能精進有興趣之人才，與我們攜手打造貼近客戶運用之數據服務。

【工作內容】
1. 熟悉資料倉儲與數據湖概念，進行數據清洗、資料整備等相關數據轉換與整合。
2. 熟悉數據工程的ETL流程，處理數據開發、自動化、測試、監控、佈署等相關技術解決方案。","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/4bma8?jobsource=n_my104_search"")"
"後端工程主管","香港商蒙卓有限公司台灣分公司","網際網路相關業","工作內容

- 負責 Backend 程式設計並擬定開發計畫
- 檢視並優化服務安全性穩定性
- 持續增加測試以及重構來優化效能與改善程式品質
- 撰寫技術文件、內部流程SOP
- 協助處理部門內外溝通事務，並分配部門工作與調配資源
- 軟體工作環境以及軟體流程持續改善
- Devops相關工具與部署的持續優化

條件要求
- 英文閱讀撰寫能力中級以上
- 五年以上 Backend 程式開發經驗
- 有管理 Backend Team 兩年以上經驗
- 熟悉 Node.js / Javascript ES6 / TypeScript
- 熟悉 MongoDB, Redis
- 熟悉容器化部署 (Docker)
- 熟悉 Distributed Services 且有參與設計經驗 
- 瞭解網路OSI七層架構與基本協定（http, https, websocket, tcp/ip ...等)
- 瞭解 DevOps 服務部署方法和流程，使用過雲端服務經驗，如 AWS, GCP, Digital Ocean 等
- 暸解 System monitoring 實務
- 擅長溝通協調，會使用不同的方式（如文件，畫圖，敘事）幫助溝通更順暢","台北市松山區","年薪1,500,000~2,000,000元","=HYPERLINK(""http:////www.104.com.tw/job/8cbyv?jobsource=hotjob_chr"")"
